School,Location,State,Nickname,Conference,Primary conference,National titles
American University,Washington,DC,Eagles,EIWA,Patriot League,0
Appalachian State University,Boone,NC,Mountaineers,SoCon,Sun Belt Conference,0
Arizona State University,Tempe,AZ,Sun Devils,Pac-12,,1? 1988
Binghamton University,Vestal,NY,Bearcats,EIWA,America East Conference,0
Bloomsburg University of Pennsylvania,Bloomsburg,PA,Huskies,EWL,Pennsylvania State Athletic Conferenceÿ(Div.II),0
Boise State University,Boise,ID,Broncos,Pac-12,Mountain West Conference,0
Brown University,Providence,RI,Bears,EIWA,Ivy League,0
Bucknell University,Lewisburg,PA,Bison,EIWA,Patriot League,0
University at Buffalo,Buffalo,NY,Bulls,MAC,,0
California Polytechnic State University,San Luis Obispo,CA,Mustangs,Pac-12,Big West Conference,0
"California State University, Bakersfield",Bakersfield,CA,Roadrunners,Pac-12,Western Athletic Conference,0
Campbell University,Buies Creek,NC,Fighting Camels,SoCon,Big South Conference,0
Central Michigan University,Mount Pleasant,MI,Chippewas,MAC,,0
The Citadel,Charleston,SC,Bulldogs,SoCon,,0
Clarion University of Pennsylvania,Clarion,PA,Golden Eagles,EWL,Pennsylvania State Athletic Conference (Div.II),0
Cleveland State University,Cleveland,OH,Vikings,EWL,Horizon League,0
Columbia University,New York,NY,Lions,EIWA,Ivy League,0
Cornell University,Ithaca,NY,Big Red,EIWA,Ivy League,0
Davidson College,Davidson,NC,Wildcats,SoCon,Atlantic 10 Conference,0
Drexel University,Philadelphia,PA,Dragons,EIWA,Colonial Athletic Association,0
Duke University,Durham,NC,Blue Devils,ACC,,0
Eastern Michigan University,Ypsilanti,MI,Eagles,MAC,,0
Edinboro University of Pennsylvania,Edinboro,PA,Fighting Scots,EWL,Pennsylvania State Athletic Conference (Div.II),0
Franklin & Marshall College,Lancaster,PA,Diplomats,EIWA,Centennial Conferenceÿ(Div.III),0
Gardner-Webb University,Boiling Springs,NC,Runnin' Bulldogs,SoCon,Big South Conference,0
