"Tuesday, November 14"
"Davidson 41, Greensboro 9"

"125: Gabriel Wilson (Greensboro) dec. over Michael McCleland (Davidson), 8-5"

"133: Christopher Haskin (Greensboro) dec. over Zamir Ode(Davidson), 3-2"

"141: Zachary Rainess (Greensboro) dec. over Dustin Runzo (Davidson), 3-2"

149: Aidan Conroy (Davidson) wins by forfeit

157: Tony Palumbo (Davidson) wins by forfeit

"165: Hunter Costa (Davidson) fall over Ryan Dominique (Greensboro), 2:07"

"174: Noah Satterfield (Davidson) fall over Quaevon Cannon (Greensboro), 4:03"

"184: Conor Fenn (Davidson) fall over Tyron Dudley (Greensboro), 2:50"

"197: Konner Pritchard Davidson) tech. fall over Carlos Ortega (Greensboro), 16-1 (3:33)"

"285: Will Cooley (Davidson) fall over Nicholas Harper (Greensboro), 4:50"



"Thursday, November 16"
"Indiana 19, Bloomsburg 18"

"125: Willy Girard (Bloomsburg) dec. Elijah Oliver (Indiana), 12-5"

"133: Andy Schutz (Bloomsburg) dec. Garrett Pepple (Indiana), 4-0 "

"141: Cole Weaver (Indiana) FALL Braden Stahlnecker (Bloomsburg), 2:00 "

"149 Davey Tunon (Indiana) dec. Ryan Stocku (Bloomsburg), 4-1 "

"157 Kevin Laubach Jr. (Bloomsburg) FALL Austin Holmes (Indiana), 2:18 "

"165 Bryce Martin (Indiana) maj. dec. Anthony Vetrano (Bloomsburg), 13-4 "

"174 Devin Skatzka (Indiana) dec. Kyle Murphy (Bloomsburg), 10-6 "

"184 Trevor Allard (Bloomsburg) dec. Norman Conley (Indiana), 6-5 "

"197 Logan Womelsdorf (Bloomsburg) dec. Jake Kleimola (Indiana), 3-1 "

"285 Fletcher Miller (Indiana) dec. Bruce Graeber (Bloomsburg), 7-5 SV-1"



"Oregon State 42, Eastern Oregon 6"

125: Ibrahim Bunduka (George Mason) wins by forfeit

"133: Devan Turner (Oregon State) major decision Victor Echeverria (George Mason), 12-0"

"141: Jack Hathaway (Oregon State) fall over Trevor Mello (George Mason), 2:30"

"149: Kurt Mode (Oregon State) decision over Matthew Raines (George Mason), 11-6"

"157: Hunter Willits (Oregon State) decision over Bryce Reddington, 10-5 (George Mason)"

"165: Creed Lumpp (George Mason) decision over Billy Bigelow (Oregon State), 6-4"

"174: Myles Terry (Oregon State) major decision over Brendan May (George Mason), 12-4"

"184: Seth McLeod (Oregon State) technical fall over Levko Higgins (George Mason), 16-1"

"197: Cory Griego (Oregon State) major decision over Philip Stolfi (George Mason), 8-0"

"285: Cody Crawford (Oregon State) decision over Matthew Voss (George Mason), 9-5"


"Friday, November 17:"
"Iowa 48, Iowa Central 0"

"125: Justin Stickley (Iowa) tech. fall Kevin Radcliffe (ICCC), 2:49;"

"133: Phillip Laux (Iowa) dec. Todd Small (ICCC), 8-5"

"141: Vince Turk (Iowa) tech. fall Eric Clarke (ICCC), 18-3"

"149: Brandon Sorensen (Iowa) tech. fall Yar Aldiva (ICCC), 24-8"

"157: Michael Kemerer (Iowa) pinned Alex Leone (ICCC), 2:47"

"165: Kaleb Young (Iowa) tech. fall Tyler Helfrich-Meyers (ICCC), 20-5"

"174: Joey Gunther (Iowa) major dec. Jonah Eglie (ICCC), 22-10"

"184: Mitch Bowman (Iowa) pinned Brady Vogel (ICCC), 3:17"

"197: Cash Wilcke (Iowa) dec. Tyree Sutton (ICCC), 10-4"

"285: Sam Stoll (Iowa) pinned Jordan Hill (ICCC), 1:49"



"Iowa 33, Buffalo 6"

"125: Kyle Atkins (Buffalo) dec. Justin Stickley (Iowa), 8-4"

"133: Bryan Lantry (Buffalo) dec. Paul Glynn (Iowa), 2-0"

"141: Vince Turk (Iowa) major dec. Blake Retell (Buffalo), 12-2"

"149: Brandon Sorensen (Iowa) pinned Jason Estevez (Buffalo), 4:40"

"157: Michael Kemerer (Iowa) pinned Kobe Garrehy (Buffalo), 1:34"

"165: Kaleb Young (Iowa) major dec. Derek Holcomb (Buffalo), 12-4"

"174: Joey Gunther (Iowa) dec. Austin Wiegel (Buffalo), 3-1"

"184: Mitch Bowman (Iowa) dec. Brett Perry (Buffalo), 10-4"

"197: Cash Wilcke (Iowa) major dec. Joe Ariola (Buffalo), 14-3"

"285: Sam Stoll (Iowa) dec. Jake Gunning (Buffalo), 4-3 SV2"



"Iowa 38, North Dakota State 6"

"125: Paul Bianchi (NDSU) pinned Justin Stickley (Iowa), 1:53"

"133: Phillip Laux (Iowa) tech. fall Tirso Lara (NDSU), 16-0"

"141: Vince Turk (Iowa) tech. fall Sam Hampton (NDSU), 19-4"

"149: Brandon Sorensen (Iowa) major dec. Kyle Gliva (NDSU), 14-6"

"157: Michael Kemerer (Iowa) tech. fall #14 Clay Ream (NDSU), 17-2"

"165: Kaleb Young (Iowa) dec. #20 Andrew Fogarty (NDSU), 3-2"

"174: Joey Gunther (Iowa) major dec. Dylan Urbach (NDSU), 10-2"

"184: Mitch Bowman (Iowa) dec. Tyler McNutt (NDSU), 5-4"

"197: Cash Wilcke (Iowa) dec. Cordell Easton (NDSU), 5-3"

"285: Sam Stoll (Iowa) pinned Dan Stribal (NDSU), 6:13"



"Cornell 30, Northern Iowa 10"

"133: Chaz Tucker (C) won by fall over Jack Wagner (UNI), 3:54"

